No.;Описание;Описание 2
579794601;Ремъчна шайба;SHEAVE 1/3V 3.15 OD X 0.75 ID
579816401;DIAMOND BLADE L D350 DEKKON;14 IN. BLADE RE. 9YJH035001120124001
580292901;Винт PW4.2x18;Screw PW4.2x18
581499801;Bolt, Internal Torx Socket Head Cap;M 5 X 8 10.9 ZnFe
582038606;S/F R-FLX55-3030A;POL+VARNI Clear
582038607;S/F R -FLX6.5-4000;POL+VARNI Clear
582038608;S/F R-FLX6-1010;POL+VARNI Clear
582038609;S/F R-FLX6-3030;POL+VARNI Clear
582038610;S/F R-FLX6-4000;POL+VARNI Clear
582038611;S/F R-FLX8-3030;POL+VARNI Clear
582038612;S/F R-XL6.5-3030;R3001F01A Red
582038613;S/F R-XL6-S225-3030;R3001F01A Red
582089101;Стикер;
582105901;Ремъчен предпазител;GUARD BELT
582185401;Стикер;DECAL 43314
582185701;Стикер стрелка;DECAL 43314
582203508;CORE BLADE : 0328 24SLOT 328*2.4*25.4;9TJH0350461599-S65                      
582203509;CORE BLADE:S65 0378 28SLOT 378*2.5*25.4;9TJH0400461599-S65                    
582203510;CORE BLADE: S65 0430 32SLOT 430*2.5*25.4;9TJH0450461599-S65                      
582203511;SOFF-CUT 5.830 .073 12SLOT;Cola PN 464074
582203512;SOFF-CUT 11.360 .060/.120 20SLOT;Cola PN 464069
582203513;SOFF-CUT 5.210 .073 12SLOT;Cola PN 463687
582203514;SOFF-CUT 11.360 .090 20SLOT;Cola PN 464051
582203515;SOFF-CUT 9.300 .075 17SLOT;Cola PN 464033
582203516;SOFF-CUT 12.700 .090 24SLOT;Cola PN 464044
582203517;SOFF-CUT 7.210 .073 14SLOT;Cola PN 463685
582203518;Steel core 18slot 284*2.4*25.4;
582203519;Steel core 21slot 334*2.4*25.4;
582203520;Steel core 24slot 384*2.5*25.4;
582203766;задна вложка 16 in. D400;
582207007;сегмент: B7D P 0;9AJP40101929B7D REPLACED BY 590817321
582207304;сегмент: B6E P;9AJP38142139B6E SEGMENT BLADE REPL. BY 590817322
582207312;сегмент: C9D W;9AJW40101678C9D REPLACED BY 590817329
582207313;сегмент: C9D W;9AJW40101928C9D REPLACED BY 590817323
582263516;сегмент :B7D W;9AJW40101928B7D REPLACED BY 590817324
582359001;Планка 43314;PLATE X150 EARLY ENTRY SOFF-CUT
582370701;Лагерна втулка;"Bearing sleeve spacer 3/4"" X 0.06"""
582370801;Винт (ЧЕРЕН ОКСИД) - AF303340;Screw SHSB 5/8 X 3/4 BLK STL (BLACK OXIDE)
582403301;Защитно покритие;FILM, PROTECTIVE 81.6 X 71.2 PC 0.25 MM
582453567;етикет Barracuda New;
582569301;ЛУСТЕР КЛЕМА 12X2.5 MM2;PA/PP BLOCK OF 12 PAIRS, TYPE EKL 1 S WHITE
582639201;Болт с фланец 1/4-20 X 1-1/8;FLANGE HEX BOLT 1/4-20 X 1-1/8
582644801;Болт с фланец M6SF M16X50 8.8 FZB DIN 6921;FAST Bufab Sweden AB
582653801;Капачка предна;CAP, FRONT X-150
582664601;Прът на водача;GUIDE BAR
582835401;Barracuda Multi-Purpose 14 x 0.125 in.;Clear
582854703;S/F R-FLX6.5-3000;
582854704;S/F R-FLX14-3000;
582854705;S/F R-FLX12-3000;
582854706;S/F R-FLX10-3000;
582854707;S/F R-FLX12S8-3000RH;
582865823;CTN Barcode: 582866002;бар-код CTN - SET OF 5 PCS AS SUPPLIED
582865824;LABEL Barcode: 582866002;стикер баркод, единичен SINGLE PIECES
582865857;стикер баркод:589558201;K694J01J350-13 LABEL BARCODE
582865858;стикер CTN баркод:589558;K694J01J350-14 LABEL CTN BARCODE
583798274;стикер:Asphalt_Rein;
583798275;стикер: Block;K694K19J500-02 LABEL, BLOCK
583886401;табелка husqvarna 60x36;FS400 MADE IN CHINA?
583942302;CONNECTOR 2X2.5 MM2;582569301 DETACHED INTO BLOCK OF 2 PAIRS
584227611;кашон Blade Color Ca;K694D01J600-01 CARDBOARD
584227627;Cardboard DIS outside D300;
584227628;Cardboard DIS outside D350;
584227629;Cardboard DIS outside D400;
584227636;Стикер;PACE Sticker-Yellow
584831401;LOCK NUT KM6;SKF M30x1.5-5H
585191905;MOTOR PG 510 1-PH 2,2 KW;EL MOTOR Husqvarna (Xiamen)
585235901;БОЛТ С ФЛАНЕЦ M12X25 8.8 ZPB;EHHFM FAST Techno Skruv
585294801;Husqvarna brand decal;polyester brushed orange
585302205;MOTOR PG 510 1-PH 3,0 KW;EL MOTOR Husqvarna (Xiamen)
585358301;Винт IHSCM;SCREW IHSCM ISO 4762 M8x40 12.9 ZPB
585480001;Пружина на бутона;Push button spring
585580801;14 125 1DP-20mmB VARI-CUT PLUS;
585580802;16 125 1-20mmB VARI-CUT PLUS;
585580803;18 140 VARI-CUT PLUS;Clear
585580804;20 140 VARI-CUT PLUS;Clear
585949301;Crown FLAT;Flat decal crown Husqvarna
585973101;SCREW EHHFM M10x25 8.8 Z;EN 1665
585980401;Болт с фланец M6SF M10X30 8.8 FZB DIN 6921;FAST Bufab Sweden AB
585980601;БОЛТ С ФЛАНЕЦ M6X16 8.8 FZB DIN 6921;Hex Head Flange Bolt without Serrations
586107801;14 125 1DP-20mmB VARI-CUT TURBO;
586594401;S/F 14 125 1-20mm VARI-CUT+;US PN 660857
586594402;S/F 16 140 1-20mm VARI-CUT+;US PN 660855
586594403;S/F 18 140 1-20mm VARI-CUT+;US PN 660856
586627101;DECAL FS400LV;
586734902;RUBBER DAMPER;GANTER GN 352-20-15-M6-E-70
587057401;Пластмасови скоби за жилото ф6;"CLAMP 1/4"" POLYAMIDE, T=1.4 MM; AF303355"
587069401;CABLE POWER CORD IEC-C7 EU;PC+IEC CONNECTOR C7 STRAIGHT
587069402;US POWER SUPPLY CORD W. C7 PLUG;UL/CSA CONNECTOR STRAIGHT
587069403;AUS POWER CORD VAC7S-AU10LSF2;AUS CONNECTOR STRAIGHT
587258801;Радио контролен блок RC.INCL.;RADIO CONTROL UNIT RC INCL. CASE DS to Asbro
587277910;сегмент:B6E P;VARI-CUT S85 3.2*10*40/R
587277911;сегмент:B6E P;VARI-CUT S85  40*3.2*10/R
587277912;сегмент:B6E P;VARI-CUT S85  40*3.2*10/R
587277913;сегмент:B6E P;VARI-CUT S85 3.2*14*40/R
587277914;сегмент:B6E P;VARI-CUT S85 40*3.2*14/R
587277915;VARI-CUT S85;3.3*14.2*40/R188
587277916;сегмент 3.7x15x40/R139;R8B EAB 30/40 C21 R9008
587277919;сeгмент 3.7x15x40/R139;R8A EAA 35/40 C23 R9008
587277920;сeгмент 3.7x19x39/R135;R10A EAA 35/45 C40 R9148
587277921;Сегмент 3.7x15x40/R164;R8B EAB 30/40 C21 R9008
587277922;Сегмент 3.7x15x40/R164;R8A EAA 35/40 C23 R9008
587277923;сегмент 3.7x19x39/R160;R10A EAA 35/45 C40 R9148
587277924;сегмент 3.8x15x39/R189;R8B EAB 30/40 C21 R9008
587277925;сегмент 3.8x15x39/R189;R8A EAA 35/40 C23 R9008
587277926;сегмент 3.8x19x38/R185;R10A EAA 35/45 C40 R9148
587277930;сегмент: L C2H P;9AJP40101679C2H SEGMENT BLADE
587277931;сегмент: L C2H P;9AJP40141631C2H SEGMENT BLADE
587277935;Exp Segt Blade:L R8D S65;3.6X12X39/R242
587368701;PLATE;FS400LV
587368801;PLATE;FS400LV
587369001;PLATE;
587369101;PLATE;
587451401;ВТУЛКА С ФЛАНЕЦ;Husqvarna (Xiamen) Co., Ltd
587620001;14 110 1DP Vari-Cut Masonry;
587620002;20 125 1DP Vari-Cut Masonry;
587794901;PLATE;FS400LV
587905905;16 125 1DP-20mmB VARI-CUT TURBO;
587918201;"Пин 1/4"" X 2""";"PIN E GROOVE, 1/4"" X 2""; AF303361"
588563104;10 in. 095 7/8-5/8B VARI-CUT;Tile/table saw blade
588768501;BELT 12 PK 633;FS400LV
588769201;Ремък 43314;BELT X150 EARLY ENTRY SOFF-CUT
588794901;PLATE;
589394501;Профил уплътнителен U3mm;SEALING STRIP PROFILE U 3mm - 50m in roll
589394502;SEALING STRIP PROFILE U 3mm;1 PCE = 0.6 M OF 589394501
589394503;SEALING STRIP PROFILE U 3mm;1 PCE = 0.07 M OF 589394501
589394504;SEALING STRIP PROFILE U 3mm;1 PCE = 1.03 M OF 589394501
589394505;SEALING STRIP PROFILE U 3mm;1 PCE = 1.06 M OF 589394501
589419901;Капак;COVER BLADE BLOCK, WELD ASSY
589490105;Barracuda Hard Hat стикер;
589558201;14 125 1-20MMB PRIMO GOLD;9YJB035008129924099
589605801;стикер: VARY-CUT MASONRY;K694K03J350-13 LABEL
589605813;стикер P65 Warnings;K694K02J400-01
589669102;СКОБА КАБЕЛНА;540 830S Essentra Components
589669103;СКОБА КАБЕЛНА M6/Ø14.3 mm;Essentra Comp. SPN-9
589669104;СКОБА КАБЕЛНА M6 DIA. 7.9MM;SPN-5 Essentra Components
589669111;Скоба M6/Ø17.5 mm; P-clamp ESSENTRA SPN-11
589686301;MOTOR PG 510 3-PH 4,0 KW;EL MOTOR Husqvarna (Xiamen)
589737943;LABEL;BLADE S35 T S L VARI-CUT
589737957;LABEL;K694J01J350-15 SET OF 5 PCS AS SUPPLIED
589737958;LABEL;K694J01J350-16 IN SINGLE PIECES, AS SUPPLIED
589772501;Хартиена подложка;GASKET - AF303352
590128901;CABLE POWERCORD EU;CABLE POWER SUPPLY FOR CHARGER EU
590128902;CABLE POWERCORD US;CABLE POWER SUPPLY FOR CHARGER US
590128903;CABLE POWERCORD AU/NZ;CABLE POWER SUPPLY FOR CHARGER AU
590284010;МЕТАЛНА ТАБЕЛКА  PG 510 EU, AU;BASE PRINT CE MADE IN BULGARIA
590284011;МЕТАЛНА ТАБЕЛКА  PG 510 US;BASE PRINT UL/CSA MADE IN BULGARIA
590324601;TANK CAP ASSY;капачка горивна
590324603;TANK CAP;капачка горивна
590436402;Захранващ щепсел 3X480V 50A HUBBELL US;POWER PLUG 3X480V50A HUBBELL Husqvarna CP Americas
590518301;СТИКЕР ПРЕДУПРЕЖДЕНИЕ ЗА ОПАСНОСТ;Husqvarna (Xiamen) Co., Ltd
590623601;стикер: Primo Gold 350mm;K694K11J350-01 LABEL
590704301;задна вложка:12 in.;K694H29J300-10
590704401;задна вложка:14 in.;
590704501;задна вложка:16 in.;K694H29J400-08
590726701;КОЛЕЛО PG 540;PU2/REAR EM-Husqvarna (Xiamen)
590817302;сегмент: C3D W;9AJW40101678C3D SEGMENT BLADE REPL. BY 590817328
590817304;сегмент:L C9D P;
590817305;сегмент:L C9D W;
590817306;сегмент:L C9D P;
590817307;сегмент:L C3D B;
590817308;Сегмент за диск L C3D P;9AJP40101429C3D WAS 543700645
590817309;сегмент: L C3D P;
590817310;сегмент:L C9D P;
590817311;сегмент:L C9D P;
590817312;сегмент:L C9D P;
590817313;сегмент:L C9D P;
590817314;сегмент:L C9D P;
590817315;сегмент:L C9D W;
590817316;сегмент :LT1J P;SEGMENT BLADE 14 IN. WAS 543717609
590817317;сегмент: L C3C P;9AJP40151629C3C SEGMENT BLADE WAS 543717921
590817318;сегмент: L C3C W;9AJW40151629C3C SEGMENT BLADE WAS 543717922
590817319;сегмент : L C3H P;9AJP40102429C3H SEGMENT BLADE WAS 543717923
590817320;сегмент : L C3H W;9AJW40102429C3H SEGMENT BLADE WAS 543717924
590817321;сегмент: L B7D P;
590817322;сегмент:L B6E P;
590817323;сегмент:L C9D W;
590817324;сегмент: LB7D W;
590817325;сегмент: XXF W;9AJW40101678XXF WAS 590817202
590817326;сегмент;за 16 in. VARI-CUT TURBO
590817327;сегмент: C3D W;9AJW40101428C3D SEGMENT BLADE WAS 590817301
590817328;сегмент: L C3D W;
590817329;сегмент:L C9D P W;
590817332;сегмент:L B7D B 0330 40;9AJB40121659B7D BLADE SEGMENT
590821601;Стикер повдигаща кука;DECAL LIFTING HOOK
590928801;вложка:16 in.;K694H29J400-05
590929401;вложка: 14 in. Block;K694H29J350-04 INSERT
590929443;STI NEW-SEGMENT-HEIGHT;
590929701;вложка: 14 in. Asphalt;K694H29J350-07
590929801;вложка:14 in.;
590930301;вложка: 16 in. Asphalt;K694H29J400-07
590931001;вложка:12 in.;K694H29J300-06
590953601;DECAL 112 dB;
590993402;стикер HD SUPPLY;
590993403;стикер VARI-CUT 14-16 in;K694K03J350-16
590993404;стикер VARI-CUT PLUS;
590993405;стикер VERI-CUT TURBO;K694K03J350-18
591046801;CORE BLADE:12slot07 L;
591239101;Захранващ щепсел 1X220V 30A;HUBBELL US Husqvarna America
591289101;PLUG MALE SINGLE PHASED;HUBBELL CS8265C 50A 220V 50AMP
591357301;DECAL HUSQVARNA;228x42,6 mm VINYL
591357401;LOGO HUSQVARNA FLAT;Flat decal
591364540;S/F R-VC6-1010;VARI-CUT ситопечат - виолетов (Purple/Lilac)
591364541;S/F R-VC6-3030;VARI-CUT ситопечат - червен
591364542;S/F R-VC6-4000;VARI-CUT ситопечат - оранжев
591434601;DECAL DEPTH GAUGE;
591468501;"Болт с фланец; AF303366";HEX HEAD TAPPING SCREW M6X12 ZPB
592051901;BAG BIGGEST (ex C5500b), Pullman 201200518;87x87x118cm intl., dia.spout 35cm,L=50cm
592647558;CORE BLADE:20slot46 LPh  0278*2.4*25.4;9TJP0300461599-S35/S45
592647559;CORE BLADE:24slot46 LPh  0328*2.4*25.4;9TJP0350461599-S35/S45
592647561;CORE BLADE:28slot46 LPh  0378*2.5*25.4;9TJP0400461599-S35/S45
592737701;Лост на дръжката;HANDLE, GRAB
592920601;Планка;BRACKET, SPRING HOLDER Q235 STEEL T=2 MM
593044301;Газ регулатор;UL - Throttle Control Assy
593129715;Сегмент за диск: P C16C;
593129716;Сегмент за диск: P C16C;
593129717;сегмент: B C16B;9AJB32090688C16B SEGMENT BLADE
593129718;Сегмент за диск: P C16A;9AJP32080551C16A
593129719;Сегмент за диск: P C16A;
593129720;Сегмент за диск: P C16C;
593129721;Сегмент за диск: P C16C;
593129722;Сегмент за диск: P C16C;
593129723;Сегмент за диск: P C16C;
593129724;Сегмент за диск: P C16A;
593129725;Сегмент за диск: P C16A;
593129758;Сегмент за диск: L C16D P;9YAJP4012165924001 SEGMENT BLADE
593129759;Сегмент за диск: L C16D P;9YAJP4015162924001 SEGMENT BLADE
593165401;ДРЪЖКА ПОЛОВИНА - ЛЯВА;UL - HANDLE HALF- LEFT
593165501;ДРЪЖКА ПОЛОВИНА - ДЯСНА;UL - HANDLE HALF- RIGHT
593311801;SPACER SLEEVE BHT;STEEL MACH Flexmac Industri AB
593312001;HTC QUOTATION FOLDER;PRINTED MATERIAL Tellogruppen
593313408;CARDBOARD BOX AIRFLOW Ø270;PACKAGE Boxon Pak Ref. 113072
593313501;TOOL PLATE RAVAGER Ø180MM;STEEL THIN Rotage AB = HTC Local 213104
593314301;USB FLASH DRIVE;K207 (50 PCS/BIN)
593317601;VIBRATION DAMPER BHT;Industriprodukter
593318901;SUPERPREP QUICK GUIDE;PRINTED 8-PAGES Tellogruppen
593319101;TOOL HOLDER EZ 180  3;ALU- MACH Hugma AB
593319103;TOOL HOLDER EZ 230  6;ACCESSORY AL Hugma 800-1810-02
593319105;TOOL HOLDER EZ 270 6;ALU- MACH Hugma AB
593319204;TOOL HOLDER SPRING EG 270 MM;ACCESSORY Hugma AB
593319301;TOOL HOLDER EZ AIRFLOW Ø270;ACCESSORY, INCL. CARDBOARD
593319302;TOOL HOLDER EZ AIRFLOW Ø230;ACCESSORY, INCL. CARDBOARD
593330301;plastic tools;GRND SEG w/o Diamond
593344201;RAVAGER BHT Ø150 HAND CMPL;ACCESSORY, HAND GRINDING
593344202;RAVAGER BHT Ø180 GREEN;ACCESSORY, HTC 420
593344205;RAVAGER BHT Ø230 GREEN;ASSEMBLED, ACCESSORY
593344206;RAVAGER BHT Ø270 (3) GREEN;ASSEMBLED, ACCESSORY
593344207;RAVAGER BHT Ø270 (6) GREEN;ASSEMBLED, ACCESSORY
593344210;BUSH HAMMERING Ø230 3 ROLLS;ACCESSORY, HAND GRINDING
593344211;BUSH HAMMERING Ø270 3 ROLLS;ACCESSORY, HAND GRINDING
593344212;BUSH HAMMERING Ø270 6 ROLLS;ACCESSORY, HAND GRINDING
593376401;PIPE Y-SPLITTER 50X50X50MM;STEEL PIPE Rotage AB Ref. 938-100-0831
593377701;NILOS RING 6012 JV;Sverull AB
593377901;FLAT BELT 420, GL 450 INNER;Habasit AB Ref. S140H30x1538
593378001;FLAT BELT 420, GL 450 UPPER;Habasit AB Ref. S140H20X787
593378101;Капачка за прах;TUBE CAP F. DUST COVER LDPE RED Essentra 31-11130
593378801;O-RING 20.1X1.6 FPM 80 SHORE;VITON Sverull AB
593379601;RADIAL SHAFT SEAL 15X26X7;SKF CR 15x26x7 HMSA10 RG
593379701;SCREW KIT, GRINDING HOLDER 950;SERVICE KIT, COLLECTION AND PACKAGE
593380901;PIN HTC 500 HANDLE FIXING;STEEL MACH Hugma AB
593381001;Сферичен кран;Parker Ball Valves Universal Series ¼” 6402 07 13
593381501;BALL BEARING 6005 2RS C3;SKF Sverige AB
593381701;BELT INNER HTC 500, GL 550;Habasit AB Ref. S250H30X1822
593381901;FIXING LATCH;STEEL Hugma AB Re. 90-568-010
593382101;BALL BEARING 6012 2RS1 C3;DEEP GROOVE, SKF Sverige
593382401;BALL BEARING 6205 2RS C3;SKF Sverige AB
593383201;BALL BEARING 6010 2RS C3;SKF Sverige AB
593383801;GRIND HOLDER UPPER HTC 500;STEEL THIN Rotage AB Ref. 938-50-096
593383901;POLYCORD HOLDER OUTER;STEEL THIN Rotage AB Ref. 938-4110-321-1
593384001;GRIND HOLDER LOWER HTC 500;STEEL THIN Rotage AB Ref. 938-50-105
593384601;HINGE BRACKET;STEEL MACH Hugma AB
593385001;SHAFT F. TENSIONING WHEEL 650;STEEL MACH Bridge to China
593385101;САЧМЕН ЛАГЕР  6207 2RS C3;SKF Sverige
593385601;BALL BEARING 6214-2RS;DEEP GROOVE 70X125X24 SKF Sverige
593386401;GAMMA RING RB 25X40X4;BYGGBUTIKEN Re. RB02504004
593387101;GRIND HOLDER UPPER HTC 650/800;STEEL THIN Rotage AB Ref. 938-90-068-073
593387201;GRIND HOLDER LOWER HTC 650;STEEL THIN Rotage AB Ref. 938-60-107
593387501;GRIND HOLDER LOWER HTC 800;STEEL THIN Rotage AB Ref. 938-80-107
593388201;COVER HTC 650 COMPLETE;W. SPLASH GUARD, SERVICE ONLY
593388401;GRIND HOLDER POLYCORD CPL. 500;ASSEMBLED. SERVICE ONLY
593388601;PVC МАРКУЧ 15/10 ТЕКСТИЛНА ОПЛЕТКА;HOSE15/10TEXTILE BRAIDED Dunlop Hiflex Ref.2005434
593388602;HOSE CUT PVC 15/10 BRAIDED L=35CM;CUT LENGTH, SERVICE ONLY
593388603;HOSE CUT PVC 15/10 BRAIDED L=110CM;CUT LENGTH, SERVICE ONLY
593388604;HOSE CUT PVC 15/10 BRAIDED L=210CM;CUT LENGTH, SERVICE ONLY
593388701;COVER HTC 800 E/HD SPLASH HIGH;PLASTIC Safeman AB 80-036 L214
593389201;COVER HTC 500 COMPLETE;SPLASH GUARD, SERVICE ONLY
593389401;T-CONNECTION 10MM=3/8IN BARBED;NYLON, Lundgrens Ref. 323-10
593389501;МАРКУЧ 10/8 MM PU/PA ЧЕРЕН;OEM Automatic TQA10/8NR0100S
593389502;TUBE CUT 10/8 MM PU/PA BLACK L=110CM;CUT LENGTH, SERVICE ONLY
593389503;TUBE CUT 10/8 MM PU/PA BLACK L=150CM;CUT LENGTH, SERVICE ONLY
593389504;TUBE CUT 10/8 MM PU/PA BLACK L=190CM;CUT LENGTH, SERVICE ONLY
593389601;Ъглов адаптор 1/4 М/Ж;ELBOW FITTING 1/4 BRASS+NI Re. L-ROR-IU 5020-1/4
593390101;GRIND WHEEL HOLDER W. O-RING;COMPLETION HTC 130 SERVICE
593390301;BALL BEARING 6314-2RS1/C3;SKF Sverige AB
593390701;DUST COVER HTC130 180MM;MANIFOLD Nederman Re. 40260020
593390801;BRUSH STRIP CLIP-ON 0.5M;CUT LENGTH A.S. OSBORN 51025
593390901;DUST COVER HTC 130 COMPLETE;ASSEMBLED, SERVICE ONLY
593391501;REPAIR KIT 6-8;COMPLETION, SERVICE ONLY
593391601;Щуцер 12MM - G1/4;BRASS+NI Re.3045 12 1/4
593392001;REPAIR KIT 500;COMPLETION, SERVISE ONLY
593392201;SCREW KIT 2 MACHINE REPAIR 6-8;HTC 650-800, SERVICE ONLY
593392301;SCREW KIT 2-MACHINE REPAIR 500;COMPLETION, SERVICE ONLY
593392401;SCREW KIT 1 MACHINE REPAIR 6-8;HTC 650-800, SERVICE ONLY
593392501;SCREW KIT 1 MACHINE REPAIR 500;HTC 500, SERVICE ONLY
593392601;SCREW KIT GRIND HOLDER 650-950;HTC 650-950, SERVICE ONLY
593392701;COVER HTC 800 E/HD COMPL HIGH;HTC 800 E/HD, SERVICE ONLY
593393101;BELT TOOL FOR DN50;Flexmac item number HTC50-113
593393501;SCREW KIT GRIND HEAD POLYCORD;HTC 500 HUB-NOHUB SERVICE ONLY
593394001;COVER HTC 800 E/HD COMPL LOW;HTC 800 E/HD, SERVICE ONLY
593394501;BALL BEARING 6312-2RS1/C3 HT;SKF Sverige AB
593394701;RADIAL SHAFT SEAL 20X35X7;SKF CR 20x35x7 HMSA10 RG
593395001;PULLEY HTC 800;STEEL Jens S. QPLAN 224x50-40
593395101;BEARING CUP PULLEY UPPER 800;Merx Svenska Ref. 836-114-03
593395201;BEARING CUP PULLEY LOWER 800;Merx Svenska Ref. 836-108-02
593395601;TENSIONING WHEEL HTC 800;STEEL MACH Merx Svenska AB
593395701;SHAFT F. TENSION WHEEL 800E/HD;STEEL MACH Merx Svenska AB
593395801;SHAFT JOURNAL UPPER BELT 800HD;STEEL MACH Merx Svenska AB
593396501;МЕТАЛНА СКОБА JR10;SELGA AB Ref. 1504604
593396601;ЩЕПСЕЛ-СТАЦИОНАРЕН 16A 3P 200-250V BLUE;6H 2P+E IP44 SELGA Ref. 2417162
593396801;POLYCORD ROUND GREEN 184MM;PLASTIC PU Habasit HNA-18P 184
593396901;POLYCORD ROUND GREEN 168MM;PLASTIC PUR Habasit HNA18P 168
593397001;POLYCORD ROUND BLACK 184MM;PLASTIC PUHabasit NHM-6EKBV184
593397401;POLYCORD HOLDER INNER;STEEL THIN Rotage Ref. 938-50-115-1/2
593397601;POLYCORD HOLDER INNER;STEEL THIN Rotage AB Ref. 938-90-068-103
593398001;GRIND WHEEL HOLDER 130 5/8 US;COMPLETION HTC 130 SERVICE
593400101;НЕПОДВИЖЕН КУПЛУНГ Ж 32A 346-415V RED;6H 3P+N+E IP44 SELGA 2417192
593400401;V-RING 24-27MM;SKF 25 VA R
593400601;TENSIONING WHEEL 650 COMPLETE;ASSEMBLED, SERVICE ONLY
593400701;GAMMA RING RB 20X35X4;BYGGBUTIKEN Ref. RB02003504
593400801;PULLEY ASSEMBLY HTC 800;ASSEMBLED, SERVICE ONLY
593400901;TENSIONING WHEEL 800 COMPLETE;ASSEMBLED, SERVICE ONLY
593401101;TIE-WRAP LARGE BLACK 370X4.8;PA 6.6 UL94V-2 Re. BB048370N
593401801;LOWER LID HTC 420;ALU- MACH Hugma AB
593401901;BEARING COVER CENTER 420/500;STEEL THIN Rotage AB Ref. 938-100-0403
593402001;GRIND HOLDER UPPER HTC 420;STEEL THIN Rotage AB
593402101;POLYCORD HOLDER OUTER;STEEL THIN Rotage AB Ref. 938-100-0405
593402201;BORDER HTC 420;STEEL THIN Rotage AB Ref. 938-100-0408
593402301;GRIND HOLDER LOWER HTC 130-420;STEEL THIN Rotage AB Ref. 938-100-0410
593402401;FIXING LATCH;STEEL MACH Hugma AB
593402501;UPPER LID HTC 420;STEEL THIN Rotage AB Ref. 938-100-0413
593403201;SHAFT F. CENTER PULLEY 420;STEEL MACH Merx Svenska AB
593403301;CENTER PULLEY 420;STEEL MACH Merx Svenska AB
593403401;BEARING CUP CENTRE 420/500;STEEL MACH Fu Yang Manufactory
593403501;SPACER F. CENTRE HUB 420;STEEL MACH Merx Svenska AB
593403601;POLYCORD HOLDER INNER;STEEL Rotage AB 300-0406-01
593403701;PULLEY HTC 420;STEEL MACH Jens S. Trans.
593403801;SHAFT F. TENSIONING WHEEL 420;STEEL MACH Hugma AB
593403901;TENSIONING WHEEL HTC 420;STEEL MACH Merx Svenska AB
593404001;SHAFT JOURNAL UPPER BELT 420;STEEL MACH Merx Svenska AB
593404101;MOTOR PLATE HTC 420;ALU- MACH Fu Yang Manufactory
593404201;SPRING DIA. 70/1X30MM;DAFA A/S Ref. 30180194
593404401;HUB BEARING HTC 420-500 SMALL;SKF BAF-0013 AD/VE720
593404501;HUB ASSEMBLY HTC 420;ASSEMBLED, SERVICE ONLY
593404601;TENSIONING WHEEL 420 COMPLETE;ASSEMBLED, SERVICE ONLY
593404701;CENTER PULLEY COMPLETE 420;ASSEMBLED, SERVICE ONLY
593404801;POLYCORD ROUND GREEN 150MM;PLASTIC PUR Habasit HNA18P 150
593405001;V-RING 17.5-19MM;SKF 18 VA R
593405101;GRIND HOLDER POLYCORD CMPL 420;ASSEMBLED, SERVICE ONLY
593405401;РЪКОХВАТКА С РЕЗБА;Eugen Wiberger WN450 40-M6x15
593405501;MOTOR 2.5KW 230/400V BLACK;100, 1420 RPM Busck & Co AB
593406001;ГЛАВИНА-ХЪБ HTC ГОЛЯМ;SKF Sverige BAFB 446908 DE
593406201;КАБЕЛНА ВРЪЗКА ЧЕРНА 180X3.6;PA 6.6 UL94V-2 Re. BB036180S
593406601;OUTLET FILTER MAT 120X120X12;5 PCS/PACK SELGA Ref. 2569131
593407001;SHAFT F. TENSIONING WHEEL 500;STEEL MACH Merx Svenska AB
593407101;LOWER LID HTC 500;ALU- MACH Hugma AB
593407201;SHAFT JOURNAL UPPER BELT 500;STEEL MACH Merx Svenska
593407701;BORDER HTC 500 04-;STEEL THIN Rotage AB Ref. 938-100-0601-01
593407801;UPPER LID HTC 500 04-;STEEL THIN Rotage AB Ref. 938-100-0602-02
593407901;MOTOR PLATE HTC 500;ALU- MACH Fu Yang Manufactory
593408001;LIFTING BRACKET HTC 500;STEEL THIN Rotage AB Ref. 938-100-0606-02
593408101;CENTER PULLEY 500;STEEL MACH Merx Svenska AB
593408201;SPÄNNHJUL;TENSIONING WHEEL HTC 500
593408701;КОЛЕЛО-МАСИВНО СИВО;Ramström 798211 = 583-200-513
593409101;Фиксираща конзола;STEEL MACH Preko Verkstads AB
593409201;ВАЛ ЗА ЦЕНТРАЛНА ГЛАВИНА HTC 950;STEEL MACH Merx Swenska AB
593409301;ДИСТАНЦИОНЕР 28MM ЦЕНТРАЛНА ВТУЛКА;STEEL MACH Fu Yang Manufactory
593409401;ЦЕНТРАЛНА ГЛАВИНА HTC 950;STEEL MACH Hugma AB
593409501;ЛАГЕРНО ТЯЛО;STEEL MACH Hugma AB
593409601;Метален обръч HTC 950;STEEL THIN Rotage AB Ref. 938-100-0901-01
593409701;Горна плоча HTC 950;STEEL THIN Rotage AB Ref. 938-100-0902-01
593409801;Ринг за централна главина 650-800-950;STEEL THIN Rotage AB Ref. 938-100-0903-01
593409901;ОС ЗА ВОДЕЩО РЕМЪЧНО КОЛЕЛО HDX/RX;STEEL MACH Hugma AB
593410001;Моторна плоча HTC 950;STEEL MACH Preko Verkstads AB
593410101;ДИСТАНЦИОНЕН ПРЪСТЕН;STEEL MACH Hugma AB
593410201;Фиксиращ блок 650-800-950;STEEL MACH Hugma AB
593410301;ДИСТАНЦИОНЕН ДИСК ОБТЕГАЧ НА КОЛАНА;STEEL MACH Merx Svenska AB
593410501;РЕМЪЧЕН ВАЛ HTC950;STEEL MACH Merx Svenska AB
